# IPTV直播源，更新于2026-07-13 10:14:58
CCTV,#genre#

CCTV-1 综合,http://74.91.26.218:82/live/cctv1hd.m3u8

CCTV-3 综艺,http://74.91.26.218:82/live/cctv3hd.m3u8

CCTV-10 科教,http://198.204.228.26/live/cctv10hd.m3u8

CCTV-1 综合,http://183.11.239.36:808/hls/19/index.m3u8

CCTV-3 综艺,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8

CCTV-1 综合,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8

CCTV-2 财经,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8

CCTV-3 综艺,http://112.27.235.94:8000/hls/3/index.m3u8

CCTV-3 综艺,http://112.46.85.60:8009/hls/3/index.m3u8

CCTV-2 财经,http://112.46.85.60:8009/hls/502/index.m3u8

CCTV-4 中文国际,http://112.46.85.60:8009/hls/4/index.m3u8

CCTV-1 综合,http://112.46.85.60:8009/hls/501/index.m3u8

CCTV-5 体育,http://112.46.85.60:8009/hls/503/index.m3u8

CCTV-5+ 体育赛事,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8

CCTV-5+ 体育赛事,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4 中文国际,http://183.223.157.33:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5 体育,http://183.223.157.33:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-6 电影,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8

CCTV-5 体育,http://182.150.23.74:808/hls/5/index.m3u8

CCTV-9 纪录,http://74.91.26.218:82/live/cctv9hd.m3u8

CCTV-8 电视剧,http://61.136.172.236:9901/tsfile/live/0008_1.m3u8

CCTV-7 国防军事,http://112.27.235.94:8000/hls/8/index.m3u8

CCTV-7 国防军事,http://112.46.85.60:8009/hls/504/index.m3u8

CCTV-8 电视剧,http://112.46.85.60:8009/hls/8/index.m3u8

CCTV-9 纪录,http://112.46.85.60:8009/hls/509/index.m3u8

CCTV-9 纪录,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10 科教,http://61.136.172.236:9901/tsfile/live/0010_1.m3u8

CCTV-4 中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8

CCTV-6 电影,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-9 纪录,http://183.223.157.33:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10 科教,http://183.223.157.33:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-5+ 体育赛事,http://183.223.157.33:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-13 新闻,http://j.x.bkpcp.top/jx/CCTV13HD

CCTV-6 电影,http://183.223.157.33:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-11 戏曲,http://183.11.239.36:808/hls/29/index.m3u8

CCTV-4 中文国际,http://drive.mxmy.net:8888/udp/239.3.1.214:4220

CCTV-6 电影,http://drive.mxmy.net:8888/udp/239.3.1.174:8001

CCTV-11 戏曲,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8

CCTV-6 电影,http://59.39.89.130:60901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8 电视剧,http://124.165.251.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10 科教,http://182.150.23.74:808/hls/10/index.m3u8

CCTV-7 国防军事,http://drive.mxmy.net:8888/udp/239.3.1.61:8104

CCTV-13 新闻,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8

CCTV-12 社会与法,http://112.46.85.60:8009/hls/507/index.m3u8

CCTV-14 少儿,https://event.pull.hebtv.com/jishi/cp2.m3u8

CCTV-12 社会与法,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8

CCTV-2 财经,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8

CCTV-7 国防军事,http://183.223.157.33:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-8 电视剧,http://183.223.157.33:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-10 科教,http://drive.mxmy.net:8888/udp/239.3.1.63:8116

CCTV-13 新闻,https://event.pull.hebtv.com/jishi/cp1.m3u8

CCTV-14 少儿,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8

CCTV-13 新闻,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8

CCTV-13 新闻,http://112.27.235.94:8000/hls/14/index.m3u8

